station_id,stationname,date,daytype,rides
40350,UIC-Halsted,12/8/2017,W,7462
40350,UIC-Halsted,12/30/2017,A,837
40350,UIC-Halsted,12/13/2017,W,5828
40350,UIC-Halsted,12/11/2017,W,5614
40350,UIC-Halsted,12/20/2017,W,3072
40350,UIC-Halsted,12/1/2017,W,7718
40350,UIC-Halsted,12/28/2017,W,1575
40350,UIC-Halsted,12/4/2017,W,7800
40350,UIC-Halsted,12/19/2017,W,3306
40350,UIC-Halsted,12/6/2017,W,7813
40350,UIC-Halsted,12/29/2017,W,1472
40350,UIC-Halsted,12/17/2017,U,1321
40350,UIC-Halsted,12/25/2017,U,369
40350,UIC-Halsted,12/15/2017,W,5217
40350,UIC-Halsted,12/27/2017,W,1347
40350,UIC-Halsted,12/5/2017,W,7731
40350,UIC-Halsted,12/2/2017,A,2340
40350,UIC-Halsted,12/31/2017,U,800
40350,UIC-Halsted,12/14/2017,W,5493
40350,UIC-Halsted,12/9/2017,A,1947
40350,UIC-Halsted,12/22/2017,W,2334
40350,UIC-Halsted,12/24/2017,U,659
40350,UIC-Halsted,12/7/2017,W,7661
40350,UIC-Halsted,12/18/2017,W,3216
40350,UIC-Halsted,12/16/2017,A,1915
40350,UIC-Halsted,12/12/2017,W,5553
40350,UIC-Halsted,12/26/2017,W,1019
40350,UIC-Halsted,12/23/2017,A,997
40350,UIC-Halsted,12/10/2017,U,1285
40350,UIC-Halsted,12/21/2017,W,2718
40350,UIC-Halsted,12/3/2017,U,1645
40350,UIC-Halsted,3/7/2018,W,7467
40350,UIC-Halsted,2/4/2018,U,1085
40350,UIC-Halsted,2/13/2018,W,7493
40350,UIC-Halsted,3/4/2018,U,1397
40350,UIC-Halsted,3/8/2018,W,7258
40350,UIC-Halsted,2/2/2018,W,6829
40350,UIC-Halsted,1/20/2018,A,2216
40350,UIC-Halsted,1/8/2018,W,2800
40350,UIC-Halsted,3/23/2018,W,6685
40350,UIC-Halsted,2/28/2018,W,7501
40350,UIC-Halsted,3/1/2018,W,7118
40350,UIC-Halsted,3/11/2018,U,1376
40350,UIC-Halsted,1/18/2018,W,7420
40350,UIC-Halsted,2/24/2018,A,2185
40350,UIC-Halsted,3/20/2018,W,7017
40350,UIC-Halsted,2/21/2018,W,7634
40350,UIC-Halsted,1/10/2018,W,3168
40350,UIC-Halsted,1/3/2018,W,2249
40350,UIC-Halsted,3/25/2018,U,1430
40350,UIC-Halsted,3/19/2018,W,7067
40350,UIC-Halsted,1/14/2018,U,1218
40350,UIC-Halsted,3/9/2018,W,6909
40350,UIC-Halsted,2/3/2018,A,1769
40350,UIC-Halsted,2/9/2018,W,3640
40350,UIC-Halsted,1/22/2018,W,7505
40350,UIC-Halsted,2/20/2018,W,7203
40350,UIC-Halsted,3/10/2018,A,2061
40350,UIC-Halsted,3/27/2018,W,3200
40350,UIC-Halsted,3/30/2018,W,2701
40350,UIC-Halsted,1/25/2018,W,7505
40350,UIC-Halsted,3/12/2018,W,7260
40350,UIC-Halsted,3/17/2018,A,3027
40350,UIC-Halsted,3/28/2018,W,3198
40350,UIC-Halsted,2/18/2018,U,1362
40350,UIC-Halsted,3/18/2018,U,1532
40350,UIC-Halsted,2/5/2018,W,6982
40350,UIC-Halsted,2/8/2018,W,7342
40350,UIC-Halsted,2/19/2018,W,6488
40350,UIC-Halsted,3/29/2018,W,3085
40350,UIC-Halsted,1/15/2018,W,2004
40350,UIC-Halsted,3/22/2018,W,7000
40350,UIC-Halsted,1/13/2018,A,1361
40350,UIC-Halsted,1/30/2018,W,7324
40350,UIC-Halsted,2/7/2018,W,7438
40350,UIC-Halsted,1/16/2018,W,7476
40350,UIC-Halsted,2/15/2018,W,7412
40350,UIC-Halsted,3/21/2018,W,7270
40350,UIC-Halsted,1/7/2018,U,763
40350,UIC-Halsted,3/5/2018,W,7054
40350,UIC-Halsted,3/3/2018,A,1978
40350,UIC-Halsted,3/31/2018,A,1399
40350,UIC-Halsted,2/1/2018,W,7382
40350,UIC-Halsted,1/21/2018,U,1293
40350,UIC-Halsted,2/22/2018,W,7328
40350,UIC-Halsted,2/14/2018,W,7881
40350,UIC-Halsted,3/15/2018,W,7326
40350,UIC-Halsted,3/14/2018,W,7550
40350,UIC-Halsted,2/26/2018,W,7193
40350,UIC-Halsted,1/26/2018,W,7355
40350,UIC-Halsted,1/23/2018,W,7508
40350,UIC-Halsted,2/25/2018,U,1468
40350,UIC-Halsted,2/12/2018,W,7328
40350,UIC-Halsted,2/10/2018,A,1861
40350,UIC-Halsted,3/2/2018,W,6799
40350,UIC-Halsted,1/9/2018,W,3019
40350,UIC-Halsted,3/13/2018,W,7299
40350,UIC-Halsted,2/17/2018,A,1976
40350,UIC-Halsted,2/27/2018,W,7262
40350,UIC-Halsted,1/12/2018,W,2845
40350,UIC-Halsted,2/23/2018,W,7036
40350,UIC-Halsted,1/28/2018,U,1276
40350,UIC-Halsted,1/31/2018,W,7657
40350,UIC-Halsted,1/29/2018,W,7366
40350,UIC-Halsted,1/19/2018,W,7238
40350,UIC-Halsted,1/4/2018,W,2293
40350,UIC-Halsted,3/24/2018,A,1921
40350,UIC-Halsted,1/2/2018,W,1936
40350,UIC-Halsted,1/27/2018,A,2073
40350,UIC-Halsted,1/5/2018,W,2209
40350,UIC-Halsted,1/17/2018,W,7635
40350,UIC-Halsted,3/26/2018,W,3007
40350,UIC-Halsted,2/11/2018,U,1231
40350,UIC-Halsted,3/16/2018,W,7166
40350,UIC-Halsted,3/6/2018,W,7222
40350,UIC-Halsted,1/24/2018,W,7619
40350,UIC-Halsted,1/1/2018,U,657
40350,UIC-Halsted,1/6/2018,A,998
40350,UIC-Halsted,2/16/2018,W,7284
40350,UIC-Halsted,2/6/2018,W,7290
40350,UIC-Halsted,1/11/2018,W,3024
40350,UIC-Halsted,4/25/2018,W,7331
40350,UIC-Halsted,5/20/2018,U,1094
40350,UIC-Halsted,6/4/2018,W,3195
40350,UIC-Halsted,4/11/2018,W,7308
40350,UIC-Halsted,4/12/2018,W,7150
40350,UIC-Halsted,6/21/2018,W,3480
40350,UIC-Halsted,5/18/2018,W,3089
40350,UIC-Halsted,4/24/2018,W,7052
40350,UIC-Halsted,4/6/2018,W,6692
40350,UIC-Halsted,6/27/2018,W,3990
40350,UIC-Halsted,6/8/2018,W,3605
40350,UIC-Halsted,4/4/2018,W,7153
40350,UIC-Halsted,6/20/2018,W,3986
40350,UIC-Halsted,6/11/2018,W,3310
40350,UIC-Halsted,4/14/2018,A,1999
40350,UIC-Halsted,4/8/2018,U,1391
40350,UIC-Halsted,4/16/2018,W,6789
40350,UIC-Halsted,6/15/2018,W,3401
40350,UIC-Halsted,6/22/2018,W,3429
40350,UIC-Halsted,6/9/2018,A,1837
40350,UIC-Halsted,6/12/2018,W,3688
40350,UIC-Halsted,5/11/2018,W,5355
40350,UIC-Halsted,5/10/2018,W,5448
40350,UIC-Halsted,5/29/2018,W,3224
40350,UIC-Halsted,6/2/2018,A,1499
40350,UIC-Halsted,5/21/2018,W,3177
40350,UIC-Halsted,4/5/2018,W,6915
40350,UIC-Halsted,4/26/2018,W,7155
40350,UIC-Halsted,6/3/2018,U,1177
40350,UIC-Halsted,6/19/2018,W,3849
40350,UIC-Halsted,4/19/2018,W,7158
40350,UIC-Halsted,5/31/2018,W,3466
40350,UIC-Halsted,4/22/2018,U,1398
40350,UIC-Halsted,5/27/2018,U,1200
40350,UIC-Halsted,6/14/2018,W,3670
40350,UIC-Halsted,4/7/2018,A,2087
40350,UIC-Halsted,6/24/2018,U,1414
40350,UIC-Halsted,6/6/2018,W,3409
40350,UIC-Halsted,5/14/2018,W,3284
40350,UIC-Halsted,5/7/2018,W,5458
40350,UIC-Halsted,6/30/2018,A,1555
40350,UIC-Halsted,4/20/2018,W,6814
40350,UIC-Halsted,4/15/2018,U,1224
40350,UIC-Halsted,5/4/2018,W,6815
40350,UIC-Halsted,5/12/2018,A,1697
40350,UIC-Halsted,4/21/2018,A,1945
40350,UIC-Halsted,5/13/2018,U,1281
40350,UIC-Halsted,6/7/2018,W,3484
40350,UIC-Halsted,5/9/2018,W,5746
40350,UIC-Halsted,4/9/2018,W,6808
40350,UIC-Halsted,5/6/2018,U,1494
40350,UIC-Halsted,6/1/2018,W,3299
40350,UIC-Halsted,6/29/2018,W,3668
40350,UIC-Halsted,6/26/2018,W,3805
40350,UIC-Halsted,6/18/2018,W,3424
40350,UIC-Halsted,5/17/2018,W,3311
40350,UIC-Halsted,5/5/2018,A,2132
40350,UIC-Halsted,4/18/2018,W,7326
40350,UIC-Halsted,6/16/2018,A,1666
40350,UIC-Halsted,5/25/2018,W,3226
40350,UIC-Halsted,6/25/2018,W,3638
40350,UIC-Halsted,5/8/2018,W,5311
40350,UIC-Halsted,4/3/2018,W,6800
40350,UIC-Halsted,6/28/2018,W,3938
40350,UIC-Halsted,5/3/2018,W,6718
40350,UIC-Halsted,6/10/2018,U,1138
40350,UIC-Halsted,5/22/2018,W,3446
40350,UIC-Halsted,4/2/2018,W,6749
40350,UIC-Halsted,5/30/2018,W,3237
40350,UIC-Halsted,4/23/2018,W,6887
40350,UIC-Halsted,4/17/2018,W,7098
40350,UIC-Halsted,4/1/2018,U,1075
40350,UIC-Halsted,5/19/2018,A,1442
40350,UIC-Halsted,4/10/2018,W,7105
40350,UIC-Halsted,4/13/2018,W,6840
40350,UIC-Halsted,5/28/2018,U,1048
40350,UIC-Halsted,4/30/2018,W,7057
40350,UIC-Halsted,4/27/2018,W,6748
40350,UIC-Halsted,5/26/2018,A,1570
40350,UIC-Halsted,4/28/2018,A,2069
40350,UIC-Halsted,6/17/2018,U,1271
40350,UIC-Halsted,6/5/2018,W,3410
40350,UIC-Halsted,5/16/2018,W,3433
40350,UIC-Halsted,6/23/2018,A,1557
40350,UIC-Halsted,6/13/2018,W,3612
40350,UIC-Halsted,5/23/2018,W,3428
40350,UIC-Halsted,5/15/2018,W,3609
40350,UIC-Halsted,5/24/2018,W,3557
40350,UIC-Halsted,5/1/2018,W,7177
40350,UIC-Halsted,5/2/2018,W,7120
40350,UIC-Halsted,4/29/2018,U,1576
40350,UIC-Halsted,7/1/2018,U,1074
40350,UIC-Halsted,7/2/2018,W,3457
40350,UIC-Halsted,7/3/2018,W,3533
40350,UIC-Halsted,7/4/2018,U,1114
40350,UIC-Halsted,7/5/2018,W,3008
40350,UIC-Halsted,7/6/2018,W,3140
40350,UIC-Halsted,7/7/2018,A,1529
40350,UIC-Halsted,7/8/2018,U,1243
40350,UIC-Halsted,7/9/2018,W,3706
40350,UIC-Halsted,7/10/2018,W,3836
40350,UIC-Halsted,7/11/2018,W,4058
40350,UIC-Halsted,7/12/2018,W,3990
40350,UIC-Halsted,7/13/2018,W,3837
40350,UIC-Halsted,7/14/2018,A,1427
40350,UIC-Halsted,7/15/2018,U,1325
40350,UIC-Halsted,7/16/2018,W,3738
40350,UIC-Halsted,7/17/2018,W,3941
40350,UIC-Halsted,7/18/2018,W,3938
40350,UIC-Halsted,7/19/2018,W,3880
40350,UIC-Halsted,7/20/2018,W,3665
40350,UIC-Halsted,7/21/2018,A,1534
40350,UIC-Halsted,7/22/2018,U,1246
40350,UIC-Halsted,7/23/2018,W,3846
40350,UIC-Halsted,7/24/2018,W,4065
40350,UIC-Halsted,7/25/2018,W,4179
40350,UIC-Halsted,7/26/2018,W,3977
40350,UIC-Halsted,7/27/2018,W,3685
40350,UIC-Halsted,7/28/2018,A,1556
40350,UIC-Halsted,7/29/2018,U,1266
40350,UIC-Halsted,7/30/2018,W,3462
40350,UIC-Halsted,7/31/2018,W,3602
40350,UIC-Halsted,8/1/2018,W,3802
40350,UIC-Halsted,8/2/2018,W,3907
40350,UIC-Halsted,8/3/2018,W,3571
40350,UIC-Halsted,8/4/2018,A,1588
40350,UIC-Halsted,8/5/2018,U,1303
40350,UIC-Halsted,8/6/2018,W,3270
40350,UIC-Halsted,8/7/2018,W,3311
40350,UIC-Halsted,8/8/2018,W,3452
40350,UIC-Halsted,8/9/2018,W,3377
40350,UIC-Halsted,8/10/2018,W,3296
40350,UIC-Halsted,8/11/2018,A,1498
40350,UIC-Halsted,8/12/2018,U,1177
40350,UIC-Halsted,8/13/2018,W,3103
40350,UIC-Halsted,8/14/2018,W,3163
40350,UIC-Halsted,8/15/2018,W,3174
40350,UIC-Halsted,8/16/2018,W,3376
40350,UIC-Halsted,8/17/2018,W,3097
40350,UIC-Halsted,8/18/2018,A,1558
40350,UIC-Halsted,8/19/2018,U,1241
